26016,08,09,12,19,24,01,06
26017,04,05,10,23,31,07,12
26018,09,11,19,30,35,01,12
26019,12,13,14,16,31,04,12
26020,01,10,21,23,29,10,12
26021,05,08,12,14,17,04,05
26022,05,09,10,18,26,05,06
26023,09,25,26,27,28,01,08
26024,02,04,08,10,21,09,12
26025,03,15,24,28,29,03,07
26026,10,11,22,26,32,01,08
26027,09,10,11,12,16,01,11
26028,15,27,29,30,34,01,10
26029,03,05,17,33,35,05,07
26030,02,13,22,28,34,05,12
26031,06,08,22,29,34,05,07
26032,03,04,19,26,32,01,12
26033,03,05,07,09,18,02,10
26034,11,12,25,26,27,08,11
26035,02,22,30,33,34,08,12
26036,04,07,16,26,32,05,08
26037,07,12,13,28,32,06,08
26038,08,17,21,33,35,06,07
26039,09,11,20,26,27,06,09
26040,06,12,13,21,34,08,09
26041,24,25,27,29,34,02,06
26042,02,07,13,19,24,03,08
26043,08,12,14,19,22,11,12
26044,03,08,22,26,29,07,10
26045,01,15,21,26,33,04,07
26046,01,13,18,27,33,04,07
26047,09,20,21,23,28,06,11
26048,11,17,20,23,35,01,10
26049,01,06,14,15,17,02,03
26050,06,10,14,23,33,08,10
26051,13,18,28,32,33,02,11
26052,02,03,20,28,33,02,12
26053,02,09,14,20,31,05,09
26054,02,06,14,22,24,08,11
26055,09,10,20,33,35,04,11
26056,06,07,18,21,30,01,05
26057,23,25,26,27,34,04,10
26058,07,12,13,18,34,01,05
26059,06,13,17,19,26,07,08
26060,22,28,30,31,34,01,05
26061,10,12,26,31,35,02,12
26062,07,15,20,24,29,04,10
26063,03,15,20,29,31,01,12
26064,03,13,15,17,21,02,07
26065,04,11,12,13,25,04,08
26066,10,13,19,21,30,04,05
26067,06,16,18,19,28,07,11
26068,03,11,12,21,22,06,10
26069,12,19,21,24,29,03,10
26070,04,05,15,21,32,02,11
26071,05,13,22,26,32,02,03
26072,01,13,26,29,30,09,11
26073,04,10,22,23,33,02,12
26074,01,04,10,23,25,01,12
26075,01,06,16,18,26,04,10
26076,15,20,27,28,35,02,11
26077,04,14,19,24,27,06,07
26078,02,13,20,25,32,08,11
26079,06,08,23,26,27,05,12
26080,05,10,15,21,23,07,08
26081,08,16,18,24,34,09,12
26082,16,26,27,28,34,02,06
